checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,years_at_residence,age,other_credit,existing_loans_count,default
unknown,48,good,furniture/appliances,10222,unknown,4 - 7 years,3,37,store,1,no
unknown,27,good,renovations,5190,unknown,> 7 years,4,48,none,4,no
< 0 DM,6,good,car,1352,500 - 1000 DM,unemployed,2,23,none,1,no
< 0 DM,8,critical,car,731,< 100 DM,> 7 years,4,47,none,2,no
< 0 DM,18,critical,furniture/appliances,1880,< 100 DM,4 - 7 years,1,32,none,2,no
1 - 200 DM,30,good,furniture/appliances,3441,100 - 500 DM,1 - 4 years,4,21,none,1,yes
unknown,18,critical,car,1530,< 100 DM,1 - 4 years,2,32,bank,2,yes
< 0 DM,12,good,car,1274,< 100 DM,< 1 year,1,37,none,1,yes
> 200 DM,18,good,furniture/appliances,2864,< 100 DM,1 - 4 years,1,34,none,1,yes
< 0 DM,20,critical,furniture/appliances,4272,< 100 DM,> 7 years,4,24,none,2,no
unknown,12,critical,renovations,996,unknown,4 - 7 years,4,23,none,2,no
< 0 DM,24,poor,car,1333,< 100 DM,unemployed,2,43,none,2,yes
< 0 DM,12,good,furniture/appliances,674,100 - 500 DM,4 - 7 years,1,20,none,1,yes
1 - 200 DM,48,good,furniture/appliances,3060,< 100 DM,4 - 7 years,4,28,none,2,yes
< 0 DM,48,very good,business,7685,< 100 DM,4 - 7 years,4,37,none,1,yes
< 0 DM,9,good,furniture/appliances,1364,< 100 DM,4 - 7 years,4,59,none,1,no
1 - 200 DM,12,good,car,7472,unknown,unemployed,2,24,none,1,no
unknown,24,poor,business,2978,unknown,1 - 4 years,4,32,none,2,no
< 0 DM,18,good,furniture/appliances,1131,< 100 DM,unemployed,2,33,none,1,yes
1 - 200 DM,6,good,furniture/appliances,484,< 100 DM,4 - 7 years,3,28,bank,1,no
< 0 DM,15,perfect,car,950,< 100 DM,> 7 years,3,33,none,2,yes
< 0 DM,6,critical,furniture/appliances,1872,< 100 DM,unemployed,4,36,none,3,no
1 - 200 DM,24,critical,furniture/appliances,1216,100 - 500 DM,< 1 year,4,38,bank,2,yes
> 200 DM,10,critical,car,781,< 100 DM,> 7 years,4,63,none,2,no
unknown,24,critical,business,4526,< 100 DM,1 - 4 years,2,74,none,1,no
1 - 200 DM,12,good,furniture/appliances,1922,< 100 DM,1 - 4 years,2,37,none,1,yes
< 0 DM,24,very good,business,3161,< 100 DM,1 - 4 years,2,31,none,1,yes
unknown,9,good,business,1449,< 100 DM,4 - 7 years,2,27,none,2,no
unknown,15,critical,car,3368,> 1000 DM,> 7 years,4,23,none,2,no
unknown,24,good,furniture/appliances,3972,< 100 DM,4 - 7 years,4,25,none,1,no
unknown,24,critical,furniture/appliances,2611,< 100 DM,> 7 years,3,46,none,2,no
unknown,15,poor,furniture/appliances,960,> 1000 DM,4 - 7 years,2,30,none,2,no
unknown,12,good,furniture/appliances,776,< 100 DM,1 - 4 years,2,28,none,1,no
> 200 DM,10,good,furniture/appliances,1275,< 100 DM,< 1 year,2,23,none,1,no
< 0 DM,24,critical,car,6419,< 100 DM,> 7 years,4,44,none,2,no
> 200 DM,6,good,car,709,> 1000 DM,< 1 year,2,27,none,1,no
unknown,9,good,furniture/appliances,2301,100 - 500 DM,< 1 year,4,22,none,1,no
1 - 200 DM,18,good,car,5866,100 - 500 DM,1 - 4 years,2,30,none,2,no
< 0 DM,20,critical,car,2235,< 100 DM,1 - 4 years,2,33,bank,2,yes
1 - 200 DM,60,good,car,14027,< 100 DM,4 - 7 years,2,27,none,1,yes
1 - 200 DM,9,critical,education,1501,< 100 DM,> 7 years,3,34,none,2,yes
unknown,42,critical,furniture/appliances,4042,500 - 1000 DM,1 - 4 years,4,36,none,2,no
unknown,60,good,furniture/appliances,10144,100 - 500 DM,4 - 7 years,4,21,none,1,no
1 - 200 DM,18,good,education,1239,unknown,1 - 4 years,4,61,none,1,no
< 0 DM,12,good,car,2579,< 100 DM,< 1 year,1,33,none,1,yes
unknown,21,critical,car,12680,unknown,> 7 years,4,30,none,1,yes
< 0 DM,6,critical,furniture/appliances,1957,< 100 DM,4 - 7 years,4,31,none,1,no
unknown,9,good,car,3577,100 - 500 DM,1 - 4 years,2,26,none,1,no
unknown,15,critical,furniture/appliances,1520,unknown,> 7 years,4,63,none,1,no
unknown,6,good,furniture/appliances,2108,< 100 DM,4 - 7 years,2,29,none,1,no
> 200 DM,15,good,business,2687,< 100 DM,4 - 7 years,4,26,none,1,no
1 - 200 DM,48,poor,business,6681,unknown,1 - 4 years,4,38,none,1,no
unknown,24,good,furniture/appliances,999,unknown,> 7 years,2,25,none,2,no
> 200 DM,9,good,furniture/appliances,745,< 100 DM,1 - 4 years,2,28,none,1,yes
unknown,36,poor,car,10875,< 100 DM,> 7 years,2,45,none,2,no
1 - 200 DM,18,critical,furniture/appliances,1928,< 100 DM,< 1 year,2,31,none,2,yes
< 0 DM,24,critical,car,6615,< 100 DM,unemployed,4,75,none,2,no
unknown,18,good,car,2662,unknown,4 - 7 years,3,32,none,1,no
unknown,48,good,business,4844,< 100 DM,unemployed,2,33,bank,1,yes
unknown,36,poor,furniture/appliances,7678,500 - 1000 DM,4 - 7 years,4,40,none,2,no
unknown,12,good,furniture/appliances,1574,< 100 DM,1 - 4 years,2,50,none,1,no
< 0 DM,24,critical,furniture/appliances,1231,> 1000 DM,> 7 years,4,57,none,2,no
1 - 200 DM,18,good,business,2622,100 - 500 DM,1 - 4 years,4,34,none,1,no
< 0 DM,18,good,car,4380,100 - 500 DM,1 - 4 years,4,35,none,1,no
< 0 DM,30,good,furniture/appliances,3108,< 100 DM,< 1 year,4,31,none,1,yes
1 - 200 DM,12,critical,car,1860,< 100 DM,unemployed,2,34,none,2,no
< 0 DM,48,good,furniture/appliances,3051,< 100 DM,1 - 4 years,4,54,none,1,yes
1 - 200 DM,24,good,furniture/appliances,4351,unknown,1 - 4 years,4,48,none,1,no
unknown,18,good,furniture/appliances,1473,< 100 DM,< 1 year,4,39,none,1,no
< 0 DM,14,good,car,3973,< 100 DM,unemployed,4,22,none,1,no
unknown,12,good,furniture/appliances,707,< 100 DM,1 - 4 years,2,30,bank,2,no
unknown,21,poor,furniture/appliances,1591,100 - 500 DM,4 - 7 years,3,34,none,2,no
unknown,12,good,car,640,< 100 DM,1 - 4 years,2,49,none,1,no
< 0 DM,45,perfect,business,11816,< 100 DM,> 7 years,4,29,none,2,yes
< 0 DM,12,good,car,1372,< 100 DM,4 - 7 years,3,36,none,1,yes
unknown,12,critical,furniture/appliances,797,unknown,> 7 years,3,33,bank,1,yes
1 - 200 DM,24,good,furniture/appliances,5084,unknown,> 7 years,4,42,none,1,no
unknown,6,very good,car,783,unknown,1 - 4 years,2,26,store,1,no
< 0 DM,36,poor,education,6887,< 100 DM,1 - 4 years,3,29,store,1,yes
1 - 200 DM,11,poor,furniture/appliances,4771,< 100 DM,4 - 7 years,4,51,none,1,no
> 200 DM,4,good,car,1494,unknown,< 1 year,2,29,none,1,no
< 0 DM,6,critical,furniture/appliances,3384,< 100 DM,1 - 4 years,4,44,none,1,yes
< 0 DM,15,good,furniture/appliances,1845,< 100 DM,< 1 year,1,46,none,1,no
unknown,9,good,furniture/appliances,2697,< 100 DM,1 - 4 years,2,32,none,1,no
1 - 200 DM,27,good,business,2528,< 100 DM,< 1 year,1,32,none,1,no
1 - 200 DM,36,critical,furniture/appliances,2337,< 100 DM,> 7 years,4,36,none,1,no
< 0 DM,24,good,furniture/appliances,3660,< 100 DM,1 - 4 years,4,28,none,1,no
< 0 DM,6,good,car,1374,unknown,unemployed,3,75,none,1,no
< 0 DM,12,critical,car,4843,< 100 DM,> 7 years,4,43,none,2,yes
unknown,24,critical,furniture/appliances,2424,unknown,> 7 years,4,53,none,2,no
unknown,24,critical,education,1927,unknown,1 - 4 years,2,33,none,2,no
< 0 DM,18,good,education,750,< 100 DM,unemployed,1,27,none,1,yes
unknown,36,poor,car,8947,unknown,4 - 7 years,2,31,store,1,no
1 - 200 DM,60,poor,furniture/appliances,7418,unknown,1 - 4 years,1,27,none,1,no
1 - 200 DM,24,poor,furniture/appliances,1553,100 - 500 DM,4 - 7 years,2,23,none,2,no
unknown,18,good,furniture/appliances,1533,< 100 DM,< 1 year,1,43,none,1,yes
< 0 DM,24,good,furniture/appliances,3234,< 100 DM,< 1 year,4,23,none,1,yes
> 200 DM,36,good,furniture/appliances,3913,< 100 DM,1 - 4 years,2,23,none,1,no
unknown,24,poor,business,3863,< 100 DM,1 - 4 years,2,32,none,1,no
unknown,12,critical,education,2012,unknown,4 - 7 years,2,61,none,1,no
1 - 200 DM,6,good,furniture/appliances,2063,< 100 DM,< 1 year,3,30,none,1,no
< 0 DM,10,critical,car,2241,< 100 DM,< 1 year,3,48,none,2,no
unknown,12,critical,business,2292,< 100 DM,unemployed,2,42,store,2,yes
1 - 200 DM,30,critical,car,4249,< 100 DM,unemployed,2,28,none,2,yes
unknown,12,critical,business,1185,< 100 DM,1 - 4 years,2,27,none,2,no
unknown,12,critical,furniture/appliances,522,500 - 1000 DM,> 7 years,4,42,none,2,no
1 - 200 DM,18,poor,business,2427,unknown,> 7 years,2,42,none,2,no
< 0 DM,12,perfect,car,1082,< 100 DM,1 - 4 years,4,48,bank,2,yes
unknown,15,critical,car,5045,unknown,> 7 years,4,59,none,1,no
1 - 200 DM,30,very good,furniture/appliances,3496,> 1000 DM,1 - 4 years,2,34,store,1,no
1 - 200 DM,12,good,car,685,< 100 DM,4 - 7 years,3,25,bank,1,yes
unknown,24,good,car,2670,< 100 DM,> 7 years,4,35,none,1,no
unknown,60,good,car,10366,< 100 DM,> 7 years,4,42,none,1,no
unknown,24,good,car,1249,< 100 DM,< 1 year,2,28,none,1,no
1 - 200 DM,9,good,business,1391,< 100 DM,1 - 4 years,1,27,bank,1,no
unknown,33,critical,car,7253,< 100 DM,4 - 7 years,2,35,none,2,no
unknown,9,critical,education,936,500 - 1000 DM,> 7 years,2,52,none,2,no
< 0 DM,42,critical,renovations,3394,< 100 DM,unemployed,4,65,none,2,no
1 - 200 DM,6,very good,car,931,100 - 500 DM,< 1 year,1,32,store,1,yes
1 - 200 DM,48,poor,car0,7582,100 - 500 DM,unemployed,4,31,none,1,no
< 0 DM,18,good,furniture/appliances,2473,< 100 DM,unemployed,1,25,none,1,yes
< 0 DM,12,good,furniture/appliances,709,< 100 DM,> 7 years,4,57,store,1,yes
unknown,15,good,furniture/appliances,2221,500 - 1000 DM,1 - 4 years,4,20,none,1,no
1 - 200 DM,9,good,furniture/appliances,959,< 100 DM,1 - 4 years,2,29,none,1,yes
1 - 200 DM,24,good,car0,11328,< 100 DM,1 - 4 years,3,29,bank,2,yes
< 0 DM,36,good,car,1842,< 100 DM,< 1 year,4,34,none,1,yes
unknown,12,good,education,719,< 100 DM,> 7 years,4,41,bank,1,yes
unknown,9,good,furniture/appliances,2753,100 - 500 DM,> 7 years,4,35,none,1,no
< 0 DM,18,good,furniture/appliances,1345,< 100 DM,1 - 4 years,3,26,bank,1,yes
unknown,24,critical,car,2463,100 - 500 DM,4 - 7 years,3,27,none,2,no
unknown,39,good,car,8588,100 - 500 DM,> 7 years,2,45,none,1,no
< 0 DM,21,good,car,3763,unknown,4 - 7 years,2,24,none,1,no
unknown,5,good,business,3448,< 100 DM,4 - 7 years,4,74,none,1,no
1 - 200 DM,48,perfect,business,12204,unknown,1 - 4 years,2,48,bank,1,no
1 - 200 DM,42,very good,car,9283,< 100 DM,unemployed,2,55,bank,1,no
1 - 200 DM,30,perfect,business,4280,100 - 500 DM,1 - 4 years,4,26,none,2,yes
< 0 DM,12,critical,car,3499,< 100 DM,1 - 4 years,2,29,none,2,yes
< 0 DM,9,critical,renovations,1288,100 - 500 DM,> 7 years,4,48,none,2,no
1 - 200 DM,36,critical,car,5800,< 100 DM,1 - 4 years,4,34,none,2,no
unknown,36,good,furniture/appliances,2394,unknown,1 - 4 years,4,25,none,1,no
unknown,27,poor,car,8613,> 1000 DM,1 - 4 years,2,27,none,2,no
< 0 DM,18,good,furniture/appliances,2039,< 100 DM,1 - 4 years,4,20,bank,1,yes
< 0 DM,36,good,furniture/appliances,2302,< 100 DM,1 - 4 years,4,31,none,1,yes
< 0 DM,12,poor,car,1344,< 100 DM,1 - 4 years,2,43,none,2,no
unknown,21,poor,car,2993,< 100 DM,1 - 4 years,2,28,store,2,no
unknown,6,poor,business,1743,100 - 500 DM,1 - 4 years,2,34,none,2,no
unknown,15,good,education,4623,100 - 500 DM,1 - 4 years,2,40,none,1,yes
< 0 DM,42,good,furniture/appliances,7882,< 100 DM,4 - 7 years,4,45,none,1,no
unknown,36,critical,car,11054,unknown,1 - 4 years,2,30,none,1,no
unknown,24,poor,furniture/appliances,4151,100 - 500 DM,1 - 4 years,3,35,none,2,no
unknown,18,critical,furniture/appliances,629,500 - 1000 DM,> 7 years,3,32,bank,2,no
unknown,18,critical,furniture/appliances,6070,< 100 DM,> 7 years,4,33,none,2,no
1 - 200 DM,24,good,furniture/appliances,2039,< 100 DM,< 1 year,1,22,none,1,yes
1 - 200 DM,24,good,furniture/appliances,2896,100 - 500 DM,< 1 year,1,29,none,1,no
unknown,48,very good,business,3609,< 100 DM,1 - 4 years,1,27,store,1,no
1 - 200 DM,6,poor,business,1449,100 - 500 DM,> 7 years,2,31,bank,2,no
< 0 DM,48,good,car,3931,< 100 DM,4 - 7 years,4,46,none,1,yes
< 0 DM,6,good,car,662,< 100 DM,< 1 year,4,41,none,1,no
unknown,24,critical,education,1597,< 100 DM,> 7 years,4,54,none,2,no
< 0 DM,36,good,education,1977,unknown,> 7 years,4,40,none,1,yes
unknown,24,good,furniture/appliances,1278,< 100 DM,> 7 years,1,36,none,1,no
< 0 DM,24,good,car,1442,< 100 DM,4 - 7 years,4,23,none,2,yes
1 - 200 DM,48,good,furniture/appliances,5951,< 100 DM,1 - 4 years,2,22,none,1,yes
> 200 DM,24,critical,furniture/appliances,3617,unknown,> 7 years,4,20,none,2,no
1 - 200 DM,48,good,car0,5381,unknown,unemployed,4,40,bank,1,no
1 - 200 DM,18,critical,furniture/appliances,7374,< 100 DM,unemployed,4,40,store,2,no
unknown,18,good,car,1820,< 100 DM,1 - 4 years,2,30,none,1,no
unknown,36,critical,car,6614,< 100 DM,> 7 years,4,34,none,2,no
1 - 200 DM,15,good,renovations,2631,100 - 500 DM,1 - 4 years,2,25,none,1,no
1 - 200 DM,8,good,business,907,< 100 DM,< 1 year,2,26,none,1,no
1 - 200 DM,24,critical,car0,11938,< 100 DM,1 - 4 years,3,39,none,2,yes
< 0 DM,12,good,furniture/appliances,1282,< 100 DM,1 - 4 years,4,20,none,1,yes
unknown,6,good,furniture/appliances,4611,< 100 DM,< 1 year,4,32,none,1,yes
< 0 DM,9,critical,furniture/appliances,1138,< 100 DM,1 - 4 years,4,25,none,2,no
unknown,21,critical,car,3275,< 100 DM,> 7 years,4,36,none,1,no
> 200 DM,18,good,furniture/appliances,2100,< 100 DM,1 - 4 years,2,37,store,1,yes
unknown,24,good,furniture/appliances,3062,500 - 1000 DM,> 7 years,3,32,none,1,no
1 - 200 DM,18,critical,furniture/appliances,1295,< 100 DM,< 1 year,1,27,none,2,no
1 - 200 DM,9,good,furniture/appliances,1082,< 100 DM,> 7 years,4,27,none,2,no
unknown,24,critical,renovations,2058,< 100 DM,1 - 4 years,2,33,none,2,no
unknown,12,good,furniture/appliances,804,< 100 DM,> 7 years,4,38,none,1,no
1 - 200 DM,18,good,furniture/appliances,1301,< 100 DM,> 7 years,2,32,none,1,no
unknown,36,good,furniture/appliances,3349,< 100 DM,1 - 4 years,2,28,none,1,yes
unknown,24,good,car,7393,< 100 DM,1 - 4 years,4,43,none,1,no
unknown,6,good,car,1236,500 - 1000 DM,1 - 4 years,4,50,none,1,no
1 - 200 DM,36,good,furniture/appliances,9034,100 - 500 DM,< 1 year,1,29,none,1,yes
unknown,10,good,education,894,unknown,4 - 7 years,3,40,none,1,no
< 0 DM,21,good,furniture/appliances,2606,< 100 DM,< 1 year,4,28,none,1,no
< 0 DM,24,very good,furniture/appliances,2483,500 - 1000 DM,1 - 4 years,4,22,store,1,no
< 0 DM,36,good,furniture/appliances,3620,< 100 DM,1 - 4 years,2,37,none,1,no
unknown,24,critical,car,2346,< 100 DM,4 - 7 years,3,35,none,2,no
unknown,12,good,car,4675,unknown,< 1 year,4,20,none,1,no
< 0 DM,12,good,furniture/appliances,1680,500 - 1000 DM,> 7 years,1,35,none,1,no
unknown,6,critical,furniture/appliances,1237,100 - 500 DM,1 - 4 years,1,27,none,2,no
unknown,4,critical,furniture/appliances,1503,< 100 DM,4 - 7 years,1,42,none,2,no
< 0 DM,12,good,furniture/appliances,2214,< 100 DM,1 - 4 years,3,24,none,1,no
< 0 DM,24,good,furniture/appliances,4020,< 100 DM,1 - 4 years,2,27,store,1,no
< 0 DM,6,good,furniture/appliances,428,< 100 DM,> 7 years,1,49,bank,1,no
unknown,12,good,furniture/appliances,3077,< 100 DM,1 - 4 years,4,52,none,1,no
unknown,30,good,furniture/appliances,2333,500 - 1000 DM,> 7 years,2,30,bank,1,no
1 - 200 DM,6,poor,furniture/appliances,1050,< 100 DM,unemployed,1,35,store,2,no
1 - 200 DM,36,good,car,12389,unknown,1 - 4 years,4,37,none,1,yes
1 - 200 DM,24,poor,business,6967,100 - 500 DM,4 - 7 years,4,36,none,1,no
1 - 200 DM,12,good,furniture/appliances,625,< 100 DM,< 1 year,1,26,bank,1,no
unknown,24,critical,furniture/appliances,5103,< 100 DM,< 1 year,3,47,none,3,no
< 0 DM,18,good,car,976,< 100 DM,< 1 year,2,23,none,1,yes
< 0 DM,24,critical,business,1382,100 - 500 DM,4 - 7 years,1,26,none,2,no
1 - 200 DM,36,good,education,2273,< 100 DM,4 - 7 years,1,32,none,2,no
1 - 200 DM,39,critical,furniture/appliances,4933,< 100 DM,4 - 7 years,2,25,none,2,yes
< 0 DM,8,critical,car,3398,< 100 DM,4 - 7 years,4,39,none,2,no
1 - 200 DM,18,good,business,1941,> 1000 DM,1 - 4 years,2,35,none,1,no
unknown,11,critical,furniture/appliances,1154,100 - 500 DM,unemployed,4,57,none,3,no
unknown,36,good,business,5742,100 - 500 DM,4 - 7 years,2,31,none,2,no
< 0 DM,24,good,furniture/appliances,4169,< 100 DM,1 - 4 years,4,28,none,1,no
unknown,12,very good,education,3447,500 - 1000 DM,1 - 4 years,3,35,none,1,no
> 200 DM,21,critical,education,2319,< 100 DM,< 1 year,1,33,none,1,yes
1 - 200 DM,21,critical,furniture/appliances,2745,> 1000 DM,4 - 7 years,2,32,none,2,no
unknown,12,critical,furniture/appliances,930,unknown,> 7 years,4,65,none,4,no
1 - 200 DM,18,critical,furniture/appliances,6361,< 100 DM,> 7 years,1,41,none,1,no
< 0 DM,18,very good,furniture/appliances,1553,< 100 DM,1 - 4 years,3,44,bank,1,yes
unknown,24,poor,business,8648,< 100 DM,< 1 year,2,27,bank,2,yes
unknown,12,critical,furniture/appliances,717,< 100 DM,> 7 years,4,52,none,3,no
> 200 DM,36,good,furniture/appliances,5848,< 100 DM,1 - 4 years,1,24,none,1,no
1 - 200 DM,6,good,car,14555,unknown,unemployed,2,23,none,1,yes
unknown,18,good,car,3378,unknown,1 - 4 years,1,31,none,1,no
< 0 DM,6,critical,car,1361,< 100 DM,< 1 year,4,40,none,1,no
1 - 200 DM,30,poor,business,2503,100 - 500 DM,> 7 years,2,41,store,2,no
unknown,24,good,furniture/appliances,3105,unknown,< 1 year,2,25,none,2,no
> 200 DM,10,critical,furniture/appliances,1347,unknown,4 - 7 years,2,27,none,2,no
< 0 DM,11,critical,car,3939,< 100 DM,1 - 4 years,2,40,none,2,no
< 0 DM,24,very good,furniture/appliances,3552,< 100 DM,4 - 7 years,4,27,bank,1,yes
unknown,48,critical,business,7629,unknown,> 7 years,2,46,bank,2,no
1 - 200 DM,18,good,business,4439,< 100 DM,> 7 years,1,33,bank,1,no
> 200 DM,30,critical,furniture/appliances,3017,< 100 DM,> 7 years,4,47,none,1,no
< 0 DM,21,critical,car,571,< 100 DM,> 7 years,4,65,none,2,no
< 0 DM,27,perfect,business,5293,< 100 DM,unemployed,4,50,store,2,yes
unknown,10,good,car,1546,< 100 DM,1 - 4 years,2,31,none,1,no
unknown,36,good,car,8133,< 100 DM,1 - 4 years,2,30,bank,1,no
1 - 200 DM,21,poor,car,2353,< 100 DM,1 - 4 years,4,47,none,2,no
< 0 DM,24,perfect,furniture/appliances,4110,< 100 DM,> 7 years,4,23,bank,2,yes
< 0 DM,9,good,car,654,< 100 DM,1 - 4 years,3,28,none,1,yes
unknown,15,good,furniture/appliances,3568,< 100 DM,> 7 years,2,54,bank,1,no
1 - 200 DM,14,good,business,1410,500 - 1000 DM,> 7 years,2,35,none,1,no
1 - 200 DM,6,good,furniture/appliances,368,unknown,> 7 years,4,38,none,1,no
unknown,48,critical,car,10127,500 - 1000 DM,1 - 4 years,2,44,bank,1,yes
1 - 200 DM,12,good,furniture/appliances,1155,< 100 DM,> 7 years,3,40,bank,2,no
unknown,12,good,car,2445,unknown,< 1 year,4,26,none,1,no
1 - 200 DM,12,good,furniture/appliances,3017,< 100 DM,< 1 year,1,34,none,1,no
< 0 DM,12,good,education,795,< 100 DM,< 1 year,4,53,none,1,yes
unknown,24,very good,business,1559,< 100 DM,4 - 7 years,4,50,bank,1,no
unknown,48,critical,education,6110,< 100 DM,1 - 4 years,3,31,bank,1,no
1 - 200 DM,9,good,furniture/appliances,458,< 100 DM,1 - 4 years,3,24,none,1,no
1 - 200 DM,30,critical,furniture/appliances,8386,< 100 DM,4 - 7 years,2,49,none,1,yes
1 - 200 DM,12,good,furniture/appliances,1567,< 100 DM,1 - 4 years,1,22,none,1,no
unknown,12,critical,car,1255,< 100 DM,> 7 years,4,61,none,2,no
< 0 DM,24,good,furniture/appliances,1747,< 100 DM,< 1 year,1,24,none,1,no
1 - 200 DM,24,critical,business,1935,< 100 DM,> 7 years,4,31,none,2,yes
unknown,9,critical,education,1244,unknown,> 7 years,4,41,none,2,no
< 0 DM,30,good,furniture/appliances,6350,unknown,> 7 years,4,31,none,1,yes
unknown,36,good,furniture/appliances,3835,unknown,> 7 years,4,45,none,1,no
> 200 DM,24,critical,business,1275,> 1000 DM,1 - 4 years,4,36,none,2,no
1 - 200 DM,36,good,furniture/appliances,2671,100 - 500 DM,1 - 4 years,4,50,none,1,yes
unknown,10,good,car,1418,100 - 500 DM,1 - 4 years,2,35,none,1,no
< 0 DM,6,good,furniture/appliances,343,< 100 DM,< 1 year,1,27,none,1,no
1 - 200 DM,8,good,furniture/appliances,760,< 100 DM,4 - 7 years,2,44,none,1,no
unknown,18,good,furniture/appliances,1984,< 100 DM,1 - 4 years,4,47,bank,2,no
1 - 200 DM,15,good,renovations,1308,< 100 DM,> 7 years,4,38,none,2,no
