checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,years_at_residence,age,other_credit,existing_loans_count
unknown,6,critical,furniture/appliances,700,unknown,> 7 years,4,36,none,2
< 0 DM,24,good,furniture/appliances,1987,< 100 DM,1 - 4 years,4,21,none,1
unknown,12,critical,furniture/appliances,976,unknown,> 7 years,4,35,none,2
unknown,24,good,car,2603,> 1000 DM,1 - 4 years,4,28,none,1
unknown,36,poor,business,9572,< 100 DM,< 1 year,1,28,none,2
1 - 200 DM,12,good,business,1037,100 - 500 DM,4 - 7 years,4,39,none,1
unknown,12,critical,furniture/appliances,1402,500 - 1000 DM,4 - 7 years,4,37,none,1
1 - 200 DM,12,good,business,841,100 - 500 DM,4 - 7 years,4,23,none,1
unknown,48,good,furniture/appliances,10222,unknown,4 - 7 years,3,37,store,1
unknown,27,good,renovations,5190,unknown,> 7 years,4,48,none,4
< 0 DM,6,good,car,1352,500 - 1000 DM,unemployed,2,23,none,1
< 0 DM,8,critical,car,731,< 100 DM,> 7 years,4,47,none,2
< 0 DM,18,critical,furniture/appliances,1880,< 100 DM,4 - 7 years,1,32,none,2
1 - 200 DM,30,good,furniture/appliances,3441,100 - 500 DM,1 - 4 years,4,21,none,1
unknown,18,critical,car,1530,< 100 DM,1 - 4 years,2,32,bank,2
< 0 DM,12,good,car,1274,< 100 DM,< 1 year,1,37,none,1
> 200 DM,18,good,furniture/appliances,2864,< 100 DM,1 - 4 years,1,34,none,1
< 0 DM,20,critical,furniture/appliances,4272,< 100 DM,> 7 years,4,24,none,2
unknown,12,critical,renovations,996,unknown,4 - 7 years,4,23,none,2
< 0 DM,24,poor,car,1333,< 100 DM,unemployed,2,43,none,2
< 0 DM,12,good,furniture/appliances,674,100 - 500 DM,4 - 7 years,1,20,none,1
1 - 200 DM,48,good,furniture/appliances,3060,< 100 DM,4 - 7 years,4,28,none,2
< 0 DM,48,very good,business,7685,< 100 DM,4 - 7 years,4,37,none,1
< 0 DM,9,good,furniture/appliances,1364,< 100 DM,4 - 7 years,4,59,none,1
1 - 200 DM,12,good,car,7472,unknown,unemployed,2,24,none,1
unknown,24,poor,business,2978,unknown,1 - 4 years,4,32,none,2
< 0 DM,18,good,furniture/appliances,1131,< 100 DM,unemployed,2,33,none,1
1 - 200 DM,6,good,furniture/appliances,484,< 100 DM,4 - 7 years,3,28,bank,1
< 0 DM,15,perfect,car,950,< 100 DM,> 7 years,3,33,none,2
< 0 DM,6,critical,furniture/appliances,1872,< 100 DM,unemployed,4,36,none,3
1 - 200 DM,24,critical,furniture/appliances,1216,100 - 500 DM,< 1 year,4,38,bank,2
> 200 DM,10,critical,car,781,< 100 DM,> 7 years,4,63,none,2
unknown,24,critical,business,4526,< 100 DM,1 - 4 years,2,74,none,1
1 - 200 DM,12,good,furniture/appliances,1922,< 100 DM,1 - 4 years,2,37,none,1
< 0 DM,24,very good,business,3161,< 100 DM,1 - 4 years,2,31,none,1
unknown,9,good,business,1449,< 100 DM,4 - 7 years,2,27,none,2
unknown,15,critical,car,3368,> 1000 DM,> 7 years,4,23,none,2
unknown,24,good,furniture/appliances,3972,< 100 DM,4 - 7 years,4,25,none,1
unknown,24,critical,furniture/appliances,2611,< 100 DM,> 7 years,3,46,none,2
unknown,15,poor,furniture/appliances,960,> 1000 DM,4 - 7 years,2,30,none,2
unknown,12,good,furniture/appliances,776,< 100 DM,1 - 4 years,2,28,none,1
> 200 DM,10,good,furniture/appliances,1275,< 100 DM,< 1 year,2,23,none,1
< 0 DM,24,critical,car,6419,< 100 DM,> 7 years,4,44,none,2
> 200 DM,6,good,car,709,> 1000 DM,< 1 year,2,27,none,1
unknown,9,good,furniture/appliances,2301,100 - 500 DM,< 1 year,4,22,none,1
1 - 200 DM,18,good,car,5866,100 - 500 DM,1 - 4 years,2,30,none,2
< 0 DM,20,critical,car,2235,< 100 DM,1 - 4 years,2,33,bank,2
1 - 200 DM,60,good,car,14027,< 100 DM,4 - 7 years,2,27,none,1
1 - 200 DM,9,critical,education,1501,< 100 DM,> 7 years,3,34,none,2
unknown,42,critical,furniture/appliances,4042,500 - 1000 DM,1 - 4 years,4,36,none,2
